#{"t_start": 1767536077.5276003, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.9675,13,226.096056
0.97,12,226.111891
0.96,16,226.130425
0.9275,29,226.165149
0.965,14,226.182778
0.96,16,226.202661
0.975,10,226.217733
0.9625,15,228.287431
0.9675,13,228.306654
0.975,10,228.320776
0.95,20,228.347998
0.94,24,228.381747
0.95,20,228.409127
0.9575,17,228.432851
0.94,24,228.466907
0.96,16,228.489816
0.935,26,228.52362
0.9525,19,228.545958
0.95,20,228.571249
0.9525,19,228.594824
0.9425,23,228.622009
0.905,38,228.665916
0.97,12,228.68217
0.9775,9,228.693684
0.955,18,228.728393
0.97,12,228.75353
0.9625,15,228.781953
0.955,18,228.8106
0.965,14,228.830713
0.955,18,228.853007
0.97,12,228.86923
0.95,20,228.897316
0.97,12,228.911356
0.935,26,228.942649
0.91,36,228.992756
0.965,14,229.009124
0.97,12,229.023642
0.9575,17,229.044872
0.935,26,229.074773
0.9575,17,229.095878
0.9625,15,229.113957
0.965,14,229.132007
0.95,20,229.155682
0.9575,17,229.17684
0.9625,15,229.194792
0.95,20,229.217018
0.9675,13,229.233613
0.945,22,229.259095
0.925,30,229.294711
0.9425,23,229.323838
0.94,24,229.361608
0.9625,15,229.380934
0.9575,17,229.407971
0.9525,19,229.437215
0.945,22,229.463842
0.9525,19,229.487658
0.97,12,229.502632
0.93,28,229.544359
0.9675,13,229.56532
0.9525,19,229.588464
0.965,14,229.605042
0.9275,29,229.639831
0.955,18,229.661983
0.94,24,229.690983
0.945,22,229.715637
0.9575,17,229.738773
0.96,16,229.758023
0.935,26,229.789737
0.97,12,229.803889
0.9525,19,229.832599
0.94,24,229.866739
0.965,14,229.88378
0.945,22,229.910824
0.9675,13,229.92989
0.9575,17,229.950017
0.9625,15,229.96765
0.9625,15,229.986195
0.9525,19,230.007821
0.94,24,230.037432
0.94,24,230.066077
0.97,12,230.081608
0.87,52,230.143117
0.9475,21,230.167722
0.9275,29,230.200957
0.9625,15,230.218585
0.9525,19,230.241678
0.955,18,230.263795
0.9675,13,230.279112
0.94,24,230.317825
0.9475,21,230.344054
0.9675,13,230.359493
0.9375,25,230.402813
0.975,10,230.414833
0.9625,15,230.432734
