#{"t_start": 1767536782.4364533, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.94,24,269.166013
0.9475,21,269.194082
0.955,18,269.219584
0.97,12,269.236019
0.96,16,269.258896
0.98,8,269.269675
0.9125,35,269.321772
0.9575,17,269.345901
0.94,24,269.379163
0.96,16,269.401217
0.9425,23,269.439963
0.9525,19,269.471037
0.945,22,269.500973
0.9625,15,269.52403
0.95,20,269.555845
0.9525,19,269.58718
0.9625,15,269.608946
0.9225,31,269.652993
0.9575,17,269.677207
0.965,14,269.700946
0.925,30,269.746832
0.9425,23,269.784973
0.965,14,269.806534
0.9525,19,269.834256
0.9525,19,269.863884
0.9,40,269.927023
0.955,18,269.953091
0.955,18,269.978134
0.95,20,270.008213
0.9275,29,270.046897
0.9425,23,270.080026
0.92,32,270.130311
0.945,22,270.164913
0.9325,27,270.203989
0.95,20,270.232173
0.9725,11,270.247198
0.96,16,270.270806
0.9575,17,270.295129
0.9475,21,270.325897
0.9675,13,270.349034
0.9175,33,270.402837
0.9425,23,270.442952
0.96,16,270.464722
0.965,14,270.485824
0.945,22,270.519912
0.955,18,270.551058
0.975,10,270.566076
0.9475,21,270.595312
0.9425,23,270.627895
0.9575,17,270.654974
0.9625,15,270.677021
0.97,12,270.692848
0.9375,25,270.728913
0.965,14,270.748448
0.9725,11,270.764271
0.9675,13,270.781853
0.9575,17,270.8067
0.97,12,270.826817
0.95,20,270.853914
0.945,22,270.884969
0.9575,17,270.912013
0.9675,13,270.934086
0.9575,17,270.95816
0.95,20,270.993982
0.9075,37,271.055761
0.9725,11,271.072145
0.96,16,271.098033
0.9675,13,271.118895
0.945,22,271.149981
0.9525,19,271.178734
0.97,12,271.194802
0.955,18,271.221097
0.95,20,271.252161
0.9225,31,271.295755
0.9275,29,271.341257
0.9575,17,271.366833
0.87,52,271.438342
0.955,18,271.464039
0.94,24,271.501058
0.94,24,271.540892
0.945,22,271.570951
0.965,14,271.590185
0.9475,21,271.619457
0.9575,17,271.642663
0.885,46,271.709493
0.9575,17,271.737854
0.9175,33,271.786092
0.9475,21,271.8146
0.95,20,271.84885
0.96,16,271.876105
0.94,24,271.911061
0.9525,19,271.936773
0.95,20,271.963764
0.9575,17,271.989489
0.9475,21,272.021186
0.9625,15,272.042526
0.9675,13,272.064645
0.9425,23,274.365593
0.9775,9,274.380267
0.9525,19,274.411921
0.935,26,274.452248
0.965,14,274.473932
0.9675,13,274.49397
0.9725,11,274.514523
0.96,16,274.537223
0.9275,29,274.583353
0.9525,19,274.610529
0.95,20,274.638412
0.9375,25,274.672936
0.95,20,274.703
0.945,22,274.73827
0.965,14,274.760938
0.9375,25,274.799095
0.9175,33,274.846824
0.94,24,274.881546
0.9425,23,274.915921
0.97,12,274.93197
0.9625,15,274.954198
0.9325,27,274.991899
0.9675,13,275.013185
0.95,20,275.042755
0.95,20,275.069013
0.9425,23,275.100216
0.9475,21,275.129989
0.9475,21,275.161073
0.9625,15,275.183117
0.9575,17,275.207159
0.9675,13,275.224852
0.98,8,275.235903
0.955,18,275.262739
0.9575,17,275.28685
0.9525,19,275.315302
0.9525,19,275.342672
0.9675,13,275.361984
0.955,18,275.390441
0.96,16,275.418032
0.97,12,275.438957
0.97,12,275.459
0.9475,21,275.493383
0.9375,25,275.527013
0.95,20,275.554987
0.96,16,275.577028
0.96,16,275.601101
0.96,16,275.622959
0.955,18,275.647115
0.97,12,275.663356
0.93,28,275.701974
0.945,22,275.731782
0.94,24,275.767327
0.9675,13,275.786007
0.96,16,275.81162
0.9475,21,275.845829
0.9725,11,275.86307
0.965,14,275.886138
0.965,14,275.909858
0.945,22,275.941997
0.97,12,275.962189
0.0,360,276.489487
0.95,20,276.522514
0.9525,19,276.549134
0.9625,15,276.571193
0.9475,21,276.605852
0.96,16,276.630043
0.9575,17,276.658259
0.97,12,276.674822
0.955,18,276.700946
0.96,16,276.723002
0.96,16,276.746308
0.9675,13,276.768903
0.965,14,276.789074
0.9425,23,276.826159
0.9625,15,276.847203
0.7575,97,276.983968
0.9675,13,277.002009
0.97,12,277.019071
0.96,16,277.041922
0.9625,15,277.063152
0.9725,11,277.078911
0.9625,15,277.105174
0.9575,17,277.132426
0.91,36,277.189512
0.9675,13,277.210013
0.955,18,277.235858
0.94,24,277.274266
0.93,28,277.323869
0.95,20,277.357908
0.955,18,277.38457
0.955,18,279.695866
0.945,22,279.731847
0.97,12,279.748916
0.93,28,279.791199
0.96,16,279.813226
0.9625,15,279.832793
0.9625,15,279.853962
0.9475,21,279.88499
0.955,18,279.909099
0.9625,15,279.933249
0.9575,17,279.963166
0.96,16,279.984843
0.965,14,280.005941
0.9275,29,280.045326
0.935,26,280.084966
0.9575,17,280.110029
0.955,18,280.136593
0.96,16,280.159914
0.9425,23,280.194878
0.955,18,280.219083
0.945,22,280.254929
0.9725,11,280.269981
0.9625,15,280.292135
0.935,26,280.330899
0.9375,25,280.365137
0.955,18,280.394199
0.9675,13,280.41625
0.9375,25,280.450919
0.9625,15,280.472202
0.9275,29,280.516353
0.9625,15,280.54095
0.97,12,280.558599
0.95,20,280.586161
0.95,20,280.613712
0.9625,15,280.634908
0.955,18,280.660975
0.9425,23,280.701175
0.9525,19,280.731886
0.9725,11,280.750137
0.965,14,280.768828
0.9725,11,280.784915
0.955,18,280.814507
0.95,20,280.842432
0.9475,21,280.871732
0.9725,11,280.88676
0.9275,29,280.92967
0.9625,15,280.950984
0.97,12,280.968514
0.96,16,280.992077
0.95,20,281.026296
0.9575,17,281.050947
0.9725,11,281.066972
0.9375,25,281.102049
0.965,14,281.121603
0.9675,13,281.140805
0.9225,31,281.190239
0.97,12,281.211113
0.955,18,281.234943
0.9075,37,281.294513
0.9725,11,281.311758
0.97,12,281.331875
0.945,22,281.361964
0.955,18,281.388074
